,Smiles,S_Hit
65113,O=C(NC1CCN(Cc2ccccc2)CC1)c3cc(cc(c3)C(=O)NC4CCN(Cc5ccccc5)CC4)C(=O)NC6CCN(Cc7ccccc7)CC6,Yes
65114,C(CCCNc1c2CCCCc2nc3ccccc13)CCNc4c5CCCCc5nc6ccccc46,Yes
65115,COc1ccccc1C(=O)ON=C(N)Cc2cccc3ccccc23,Yes
65116,COc1cc(cc(OC)c1OC)C(=O)ON=C(N)Cc2cccc3ccccc23,Yes
65117,OC1CCCCC1C2(CCCCC2)NC(=S)Nc3ccccc3,Yes
65124,CCCCCCc1cc2C=C(C(=O)Oc2cc1O)c3csc(C=Cc4ccccc4)n3,Yes
65129,COc1cccc(C=CC2=NC(=O)c3ccccc3O2)c1OC,Yes
65133,C(c1ccccc1)n2c(N=Nc3c(Nc4ccccc4)ccc5ccccc35)nc6ccccc26,Yes
65136,c1(Cl)c(ccc(Cl)c1)OCC(O)CNC(C)(C)CC(C)(C)C,Yes
65140,c1ccc(cc1)C2=Nc3ccccc3N=C(c4ccccc4)c5ccccc25,Yes
65141,COc1ccc(CCNC(=O)c2cc(ccc2Sc3ccc(F)cc3)S(=O)(=O)N4CC(C)CC(C)C4)cc1OC,Yes
65142,COc1ccc(Nc2nc(NN=Cc3ccc(O)cc3)nc(Nc4ccc(cc4)[N+](=O)[O-])n2)cc1,Yes
65143,C1(N(C)N=O)=C(NC2CCCCC2)C(=O)c(cccc3)c3C1=O,Yes
65144,Brc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2,Yes
65145,Cc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2,Yes
65146,C12=C(N=CN(CCCn(ccn3)c3)C1=N)Oc4c(ccc(cccc5)c45)C2c6ccc(OC)c(OC)c6,Yes
65147,C12=C(N=CN(CCCN(C)C)C1=N)Oc3c(ccc(cccc4)c34)C2c5ccc(OC)cc5,Yes
65148,Clc1ccc2OC(=O)C=C(NC3CCN(CCCc4ccccc4)CC3)c2c1,Yes
65150,CC(C)(C)c1ccc(cc1)C2CC(=C3C(N(C(=O)c4ccccc4Cl)c5ccccc5N=C3C2)c6ccc(F)cc6)O,Yes
65151,COC(=O)c1ccc(cc1)C2N(C(=O)c3ccccc3)c4ccccc4N=C5CC(CC(=C25)O)c6ccc(F)cc6,Yes
65152,CCCCCC(=O)N1C(C2=C(O)CC(CC2=Nc3ccccc13)c4ccc(OC)c(OC)c4)c5ccc(cc5)C(F)(F)F,Yes
65162,COc1ccccc1N=C2C(=O)c3ccccc3C(=C2N4CCCCC4)O,Yes
65163,COc1cc(OC)c(cc1Cl)N(C)C(=O)c2cc3CS(=O)(=O)c4ccccc4c3s2,Yes
65167,OC1=C2C(Sc3ccccc3N=C2c4ccccc14)c5ccc(Br)cc5,Yes
65168,Fc1cccc(c1)C2Sc3ccccc3N=C4C2C(=O)c5ccccc45,Yes
65171,n12c(cc(C(C)(C)C)n1)nc(CCN3Cc4ccccc4OCC)c(C3)c2O,Yes
65173,CN(C)c1ccc(cc1)N=Cc2ccc(cc2)N3CCOCC3,Yes
65174,c1(c(cnn1c2cccc(C)c2)C(=O)N3)N=C3n4nc(C)cc4NC(=O)c5cc(cccc6)c6o5,Yes
65175,CN1C=C(C(c2ccccc12)c3c[nH]c4ccccc34)c5ccc6ccccc6n5,Yes
65176,c(n1)(nc(NNC(=O)c(cc2)ccc2)cc1N(CCC3)C3)N(C4)CCC4,Yes
65177,Cc1ccc(cc1)N2C3N(c4ccccc4C2N(c5ccccc35)S(=O)(=O)c6ccc(C)cc6)S(=O)(=O)c7ccc(C)cc7,Yes
65179,COc1ccccc1N2C(=N)SC(=Cc3ccc(OCc4ccccc4F)cc3)C2=O,Yes
65183,C1(=NC(C)(Cc(cc(OC)c(OC)c2)c23)C)C3=NNC1=O,Yes
65184,CCOC(=O)C1=C(C)N=C2SC(=Cc3cc(Cl)ccc3O)C(=O)N2C1c4ccc(OC)cc4,Yes
65185,CCOC(=O)C1=C(C)N=C2SC(=Cc3ccccc3O)C(=O)N2C1c4ccc(OC)c5ccccc45,Yes
65190,CSC1=NC(=Nc2c(C)cccc2C)C3(CCC(CC3)C(C)(C)C)N1c4ccc(Cl)cc4,Yes
65191,COc1ccc(cc1N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccc(C)cc5)c6ccc(C)cc6)c7ccccc7)c8ccccc8)C(=O)C,Yes
65195,Cc1sc2ncnc(Sc3nc4ccccc4[nH]3)c2c1C,Yes
65196,COc1cc2CCN(C)C3Cc4ccc(Oc5cc(CC6N(C)CCc7cc(OC)c(OC)c(Oc1cc23)c67)ccc5O)cc4,Yes
